Name,Brand,Description,Notes,Image URL,Wood,Fire,Earth,Metal,Water,Gender,Top,Middle,Base,Female_Score,Male_Score,key,matched_keywords,all_text
red-temptation-for-her,zara,"amber, mossy","saffron, bitter orange, coriander, praline, jasmine, amber, moss, musk",https://www.fragrantica.com/perfume/zara/red-temptation-for-her-63264.html,0.0,0.25,0.5,0.25,0.0,women,"saffron, bitter orange, coriander","praline, jasmine","amber, moss, musk",1.0,0.0,zara|red temptation for her|women,"saffron, bitter orange, coriander praline, jasmine amber, moss, musk","red-temptation-for-her zara saffron, bitter orange, coriander, praline, jasmine, amber, moss, musk saffron, bitter orange, coriander praline, jasmine amber, moss, musk"
oriental,zara,"caramel, vanilla","freesia, bergamot, rose, vanilla, jasmine, caramel, patchouli, musk",https://www.fragrantica.com/perfume/zara/oriental-16574.html,0.125,0.125,0.5,0.25,0.0,women,"freesia, bergamot, rose","vanilla, jasmine","caramel, patchouli, musk",1.0,0.0,zara|oriental|women,"freesia, bergamot, rose vanilla, jasmine caramel, patchouli, musk","oriental zara freesia, bergamot, rose, vanilla, jasmine, caramel, patchouli, musk freesia, bergamot, rose vanilla, jasmine caramel, patchouli, musk"
golden-decade,zara,"white floral, vanilla","mandarin orange, orange blossom, jasmine, lavender, vanilla",https://www.fragrantica.com/perfume/zara/golden-decade-69404.html,0.0,0.3333,0.3333,0.3333,0.0,women,mandarin orange,"orange blossom, jasmine, lavender",vanilla,1.0,0.0,zara|golden decade|women,"mandarin orange orange blossom, jasmine, lavender vanilla","golden-decade zara mandarin orange, orange blossom, jasmine, lavender, vanilla mandarin orange orange blossom, jasmine, lavender vanilla"
fields-at-nightfall,zara,"woody, sweet","praline, jasmine, sandalwood, amber",https://www.fragrantica.com/perfume/zara/fields-at-nightfall-64241.html,0.0,0.0,0.6667,0.3333,0.0,women,praline,jasmine,"sandalwood, amber",0.88,0.12,zara|fields at nightfall|women,"praline jasmine sandalwood, amber","fields-at-nightfall zara praline, jasmine, sandalwood, amber praline jasmine sandalwood, amber"
cherry-smoothie,zara,"sweet, cherry","cherry, almond, plum, peru balsam, heliotrope, hawthorn, vanilla, tonka bean",https://www.fragrantica.com/perfume/zara/cherry-smoothie-72492.html,0.0,0.0,1.0,0.0,0.0,women,"cherry, almond, plum","peru balsam, heliotrope, hawthorn","vanilla, tonka bean",1.0,0.0,zara|cherry smoothie|women,"cherry, almond, plum peru balsam, heliotrope, hawthorn vanilla, tonka bean","cherry-smoothie zara cherry, almond, plum, peru balsam, heliotrope, hawthorn, vanilla, tonka bean cherry, almond, plum peru balsam, heliotrope, hawthorn vanilla, tonka bean"
applejuice,zara,"fruity, fresh","apple, grapefruit, orange, peony, rose, jasmine, violet, musk, sandalwood, cedar",https://www.fragrantica.com/perfume/zara/applejuice-17189.html,0.1667,0.1667,0.3333,0.3333,0.0,women,"apple, grapefruit, orange","peony, rose, jasmine, violet","musk, sandalwood, cedar",0.89,0.11,zara|applejuice|women,"apple, grapefruit, orange peony, rose, jasmine, violet musk, sandalwood, cedar","applejuice zara apple, grapefruit, orange, peony, rose, jasmine, violet, musk, sandalwood, cedar apple, grapefruit, orange peony, rose, jasmine, violet musk, sandalwood, cedar"
9-0-zara,zara,"iris, aromatic","bergamot, juniper, coriander, iris, cardamom, pepper, amber, cedar, vetiver",https://www.fragrantica.com/perfume/zara/9-0-zara-34476.html,0.3333,0.3333,0.1667,0.1667,0.0,men,"bergamot, juniper, coriander","iris, cardamom, pepper","amber, cedar, vetiver",0.0,1.0,zara|9 0 zara|men,"bergamot, juniper, coriander iris, cardamom, pepper amber, cedar, vetiver","9-0-zara zara bergamot, juniper, coriander, iris, cardamom, pepper, amber, cedar, vetiver bergamot, juniper, coriander iris, cardamom, pepper amber, cedar, vetiver"
this-is-him,zadig-voltaire,"warm spicy, amber","black pepper, grapefruit, incense, vanilla, sandalwood",https://www.fragrantica.com/perfume/zadig-voltaire/this-is-him-39359.html,0.0,0.5,0.5,0.0,0.0,men,"black pepper, grapefruit","incense, vanilla",sandalwood,0.2,0.8,zadig voltaire|this is him|men,"black pepper, grapefruit incense, vanilla sandalwood","this-is-him zadig-voltaire black pepper, grapefruit, incense, vanilla, sandalwood black pepper, grapefruit incense, vanilla sandalwood"
this-is-her,zadig-voltaire,"vanilla, sweet","pink pepper, silkwood blossom, jasmine sambac, whipped cream, vanilla, chestnut, sandalwood, cashmere wood",https://www.fragrantica.com/perfume/zadig-voltaire/this-is-her-39358.html,0.0,0.25,0.5,0.25,0.0,women,"pink pepper, silkwood blossom, jasmine sambac","whipped cream, vanilla, chestnut","sandalwood, cashmere wood",0.8,0.2,zadig voltaire|this is her|women,"pink pepper, silkwood blossom, jasmine sambac whipped cream, vanilla, chestnut sandalwood, cashmere wood","this-is-her zadig-voltaire pink pepper, silkwood blossom, jasmine sambac, whipped cream, vanilla, chestnut, sandalwood, cashmere wood pink pepper, silkwood blossom, jasmine sambac whipped cream, vanilla, chestnut sandalwood, cashmere wood"
yvresse-champagne,yves-saint-laurent,"fruity, powdery","peach, nectarine, apricot, caraway, anise, mint, cinnamon, litchi, rose, rose oil, carnation, violet, iris, jasmine, lily-of-the-valley, oakmoss, amber, benzoin, patchouli, vanilla, styrax, cedar, musk, coconut, vetiver",https://www.fragrantica.com/perfume/yves-saint-laurent/yvresse-champagne-101.html,0.2857,0.0714,0.2857,0.2857,0.0714,women,"peach, nectarine, apricot, caraway, anise, mint","cinnamon, litchi, rose, rose oil, carnation, violet, iris, jasmine, lily-of-the-valley","oakmoss, amber, benzoin, patchouli, vanilla, styrax, cedar, musk, coconut, vetiver",0.91,0.09,yves saint laurent|yvresse champagne|women,"peach, nectarine, apricot, caraway, anise, mint cinnamon, litchi, rose, rose oil, carnation, violet, iris, jasmine, lily-of-the-valley oakmoss, amber, benzoin, patchouli, vanilla, styrax, cedar, musk, coconut, vetiver","yvresse-champagne yves-saint-laurent peach, nectarine, apricot, caraway, anise, mint, cinnamon, litchi, rose, rose oil, carnation, violet, iris, jasmine, lily-of-the-valley, oakmoss, amber, benzoin, patchouli, vanilla, styrax, cedar, musk, coconut, vetiver peach, nectarine, apricot, caraway, anise, mint cinnamon, litchi, rose, rose oil, carnation, violet, iris, jasmine, lily-of-the-valley oakmoss, amber, benzoin, patchouli, vanilla, styrax, cedar, musk, coconut, vetiver"
yves-saint-laurent-y,yves-saint-laurent,"aromatic, fresh","aldehydes, bergamot, ginger, mint, lemon, apple, violet leaf, pineapple, sage, geranium, ambergris, musk, cedar, balsam fir, incense, vetiver",https://www.fragrantica.com/perfume/yves-saint-laurent/yves-saint-laurent-y-45956.html,0.3333,0.3333,0.1667,0.0833,0.0833,men,"aldehydes, bergamot, ginger, mint, lemon","apple, violet leaf, pineapple, sage, geranium","ambergris, musk, cedar, balsam fir, incense, vetiver",0.0,1.0,yves saint laurent|yves saint laurent y|men,"aldehydes, bergamot, ginger, mint, lemon apple, violet leaf, pineapple, sage, geranium ambergris, musk, cedar, balsam fir, incense, vetiver","yves-saint-laurent-y yves-saint-laurent aldehydes, bergamot, ginger, mint, lemon, apple, violet leaf, pineapple, sage, geranium, ambergris, musk, cedar, balsam fir, incense, vetiver aldehydes, bergamot, ginger, mint, lemon apple, violet leaf, pineapple, sage, geranium ambergris, musk, cedar, balsam fir, incense, vetiver"
y-le-parfum,yves-saint-laurent,"aromatic, fresh spicy","apple, aldehydes, grapefruit, ginger, sage, lavender, geranium, tonka bean, cedar, olibanum, patchouli",https://www.fragrantica.com/perfume/yves-saint-laurent/y-le-parfum-64718.html,0.4,0.2,0.2,0.2,0.0,men,"apple, aldehydes, grapefruit, ginger","sage, lavender, geranium","tonka bean, cedar, olibanum, patchouli",0.14,0.86,yves saint laurent|y le parfum|men,"apple, aldehydes, grapefruit, ginger sage, lavender, geranium tonka bean, cedar, olibanum, patchouli","y-le-parfum yves-saint-laurent apple, aldehydes, grapefruit, ginger, sage, lavender, geranium, tonka bean, cedar, olibanum, patchouli apple, aldehydes, grapefruit, ginger sage, lavender, geranium tonka bean, cedar, olibanum, patchouli"
y-eau-de-parfum-intense,yves-saint-laurent,"aromatic, woody","ginger, juniper berries, bergamot, sage, lavender, geranium, vetiver, patchouli, cedar",https://www.fragrantica.com/perfume/yves-saint-laurent/y-eau-de-parfum-intense-79243.html,0.5,0.3333,0.1667,0.0,0.0,men,"ginger, juniper berries, bergamot","sage, lavender, geranium","vetiver, patchouli, cedar",0.0,1.0,yves saint laurent|y eau de parfum intense|men,"ginger, juniper berries, bergamot sage, lavender, geranium vetiver, patchouli, cedar","y-eau-de-parfum-intense yves-saint-laurent ginger, juniper berries, bergamot, sage, lavender, geranium, vetiver, patchouli, cedar ginger, juniper berries, bergamot sage, lavender, geranium vetiver, patchouli, cedar"
y-eau-de-parfum,yves-saint-laurent,"aromatic, woody","apple, ginger, bergamot, sage, juniper berries, geranium, amberwood, tonka bean, cedar, vetiver, olibanum",https://www.fragrantica.com/perfume/yves-saint-laurent/y-eau-de-parfum-50757.html,0.4,0.4,0.2,0.0,0.0,men,"apple, ginger, bergamot","sage, juniper berries, geranium","amberwood, tonka bean, cedar, vetiver, olibanum",0.0,1.0,yves saint laurent|y eau de parfum|men,"apple, ginger, bergamot sage, juniper berries, geranium amberwood, tonka bean, cedar, vetiver, olibanum","y-eau-de-parfum yves-saint-laurent apple, ginger, bergamot, sage, juniper berries, geranium, amberwood, tonka bean, cedar, vetiver, olibanum apple, ginger, bergamot sage, juniper berries, geranium amberwood, tonka bean, cedar, vetiver, olibanum"
tuxedo,yves-saint-laurent,"patchouli, amber","violet leaf, coriander, bergamot, rose, black pepper, lily-of-the-valley, patchouli, ambergris, bourbon vanilla",https://www.fragrantica.com/perfume/yves-saint-laurent/tuxedo-32269.html,0.2222,0.2222,0.3333,0.2222,0.0,unisex,"violet leaf, coriander, bergamot","rose, black pepper, lily-of-the-valley","patchouli, ambergris, bourbon vanilla",0.67,0.33,yves saint laurent|tuxedo|unisex,"violet leaf, coriander, bergamot rose, black pepper, lily-of-the-valley patchouli, ambergris, bourbon vanilla","tuxedo yves-saint-laurent violet leaf, coriander, bergamot, rose, black pepper, lily-of-the-valley, patchouli, ambergris, bourbon vanilla violet leaf, coriander, bergamot rose, black pepper, lily-of-the-valley patchouli, ambergris, bourbon vanilla"
saharienne,yves-saint-laurent,"citrus, white floral","amalfi lemon, bergamot, mandarin orange, white flowers, african orange flower, cassis, galbanum, petitgrain, ginger, pink pepper",https://www.fragrantica.com/perfume/yves-saint-laurent/saharienne-11844.html,0.0,0.8333,0.0,0.0,0.1667,women,"amalfi lemon, bergamot, mandarin orange","white flowers, african orange flower, cassis, galbanum, petitgrain","ginger, pink pepper",0.86,0.14,yves saint laurent|saharienne|women,"amalfi lemon, bergamot, mandarin orange white flowers, african orange flower, cassis, galbanum, petitgrain ginger, pink pepper","saharienne yves-saint-laurent amalfi lemon, bergamot, mandarin orange, white flowers, african orange flower, cassis, galbanum, petitgrain, ginger, pink pepper amalfi lemon, bergamot, mandarin orange white flowers, african orange flower, cassis, galbanum, petitgrain ginger, pink pepper"
rive-gauche-pour-homme,yves-saint-laurent,"aromatic, woody","star anise, rosemary, bergamot, lavender, geranium, cloves, coumarin, patchouli, oakmoss, vetiver, guaiac wood",https://www.fragrantica.com/perfume/yves-saint-laurent/rive-gauche-pour-homme-1032.html,0.5,0.1667,0.1667,0.1667,0.0,men,"star anise, rosemary, bergamot","lavender, geranium, cloves, coumarin","patchouli, oakmoss, vetiver, guaiac wood",0.12,0.88,yves saint laurent|rive gauche pour homme|men,"star anise, rosemary, bergamot lavender, geranium, cloves, coumarin patchouli, oakmoss, vetiver, guaiac wood","rive-gauche-pour-homme yves-saint-laurent star anise, rosemary, bergamot, lavender, geranium, cloves, coumarin, patchouli, oakmoss, vetiver, guaiac wood star anise, rosemary, bergamot lavender, geranium, cloves, coumarin patchouli, oakmoss, vetiver, guaiac wood"
rive-gauche,yves-saint-laurent,"aldehydic, white floral","aldehydes, green notes, honeysuckle, bergamot, peach, lemon, rose, iris, geranium, ylang-ylang, lily-of-the-valley, jasmine, magnolia, gardenia, oakmoss, tahitian vetiver, musk, sandalwood, tonka bean, amber",https://www.fragrantica.com/perfume/yves-saint-laurent/rive-gauche-96.html,0.2143,0.1429,0.2857,0.3571,0.0,women,"aldehydes, green notes, honeysuckle, bergamot, peach, lemon","rose, iris, geranium, ylang-ylang, lily-of-the-valley, jasmine, magnolia, gardenia","oakmoss, tahitian vetiver, musk, sandalwood, tonka bean, amber",0.8,0.2,yves saint laurent|rive gauche|women,"aldehydes, green notes, honeysuckle, bergamot, peach, lemon rose, iris, geranium, ylang-ylang, lily-of-the-valley, jasmine, magnolia, gardenia oakmoss, tahitian vetiver, musk, sandalwood, tonka bean, amber","rive-gauche yves-saint-laurent aldehydes, green notes, honeysuckle, bergamot, peach, lemon, rose, iris, geranium, ylang-ylang, lily-of-the-valley, jasmine, magnolia, gardenia, oakmoss, tahitian vetiver, musk, sandalwood, tonka bean, amber aldehydes, green notes, honeysuckle, bergamot, peach, lemon rose, iris, geranium, ylang-ylang, lily-of-the-valley, jasmine, magnolia, gardenia oakmoss, tahitian vetiver, musk, sandalwood, tonka bean, amber"
parisienne,yves-saint-laurent,"fruity, rose","blackberry, cranberry, vinyl, damask rose, violet, peony, musk, sandalwood, vetyver, patchouli",https://www.fragrantica.com/perfume/yves-saint-laurent/parisienne-6493.html,0.2,0.0,0.6,0.2,0.0,women,"blackberry, cranberry, vinyl","damask rose, violet, peony","musk, sandalwood, vetyver, patchouli",0.88,0.12,yves saint laurent|parisienne|women,"blackberry, cranberry, vinyl damask rose, violet, peony musk, sandalwood, vetyver, patchouli","parisienne yves-saint-laurent blackberry, cranberry, vinyl, damask rose, violet, peony, musk, sandalwood, vetyver, patchouli blackberry, cranberry, vinyl damask rose, violet, peony musk, sandalwood, vetyver, patchouli"
paris,yves-saint-laurent,"floral, powdery","rose, mimosa, hiacynth, geranium, green notes, nasturtium, orange blossom, hawthorn, cassia, bergamot, rose, violet, lily, lime blossom, ylang-ylang, lily-of-the-valley, jasmine, orris root, iris, musk, heliotrope, sandalwood, oakmoss, amber, cedar",https://www.fragrantica.com/perfume/yves-saint-laurent/paris-94.html,0.25,0.1667,0.25,0.3333,0.0,women,"rose, mimosa, hiacynth, geranium, green notes, nasturtium, orange blossom, hawthorn, cassia, bergamot","rose, violet, lily, lime blossom, ylang-ylang, lily-of-the-valley, jasmine, orris root","iris, musk, heliotrope, sandalwood, oakmoss, amber, cedar",0.9,0.1,yves saint laurent|paris|women,"rose, mimosa, hiacynth, geranium, green notes, nasturtium, orange blossom, hawthorn, cassia, bergamot rose, violet, lily, lime blossom, ylang-ylang, lily-of-the-valley, jasmine, orris root iris, musk, heliotrope, sandalwood, oakmoss, amber, cedar","paris yves-saint-laurent rose, mimosa, hiacynth, geranium, green notes, nasturtium, orange blossom, hawthorn, cassia, bergamot, rose, violet, lily, lime blossom, ylang-ylang, lily-of-the-valley, jasmine, orris root, iris, musk, heliotrope, sandalwood, oakmoss, amber, cedar rose, mimosa, hiacynth, geranium, green notes, nasturtium, orange blossom, hawthorn, cassia, bergamot rose, violet, lily, lime blossom, ylang-ylang, lily-of-the-valley, jasmine, orris root iris, musk, heliotrope, sandalwood, oakmoss, amber, cedar"
opium-vapeurs-de-parfum,yves-saint-laurent,"white floral, amber","pink pepper, mandarin orange, orange blossom, jasmine, incense, nutmeg, woodsy notes, amber, benzoin, vanilla, patchouli",https://www.fragrantica.com/perfume/yves-saint-laurent/opium-vapeurs-de-parfum-14627.html,0.125,0.375,0.375,0.125,0.0,women,"pink pepper, mandarin orange","orange blossom, jasmine","incense, nutmeg, woodsy notes, amber, benzoin, vanilla, patchouli",0.8,0.2,yves saint laurent|opium vapeurs de parfum|women,"pink pepper, mandarin orange orange blossom, jasmine incense, nutmeg, woodsy notes, amber, benzoin, vanilla, patchouli","opium-vapeurs-de-parfum yves-saint-laurent pink pepper, mandarin orange, orange blossom, jasmine, incense, nutmeg, woodsy notes, amber, benzoin, vanilla, patchouli pink pepper, mandarin orange orange blossom, jasmine incense, nutmeg, woodsy notes, amber, benzoin, vanilla, patchouli"
opium-pour-homme,yves-saint-laurent,"soft spicy, powdery","black currant, star anise, pepper, galanga, bourbon vanilla, tolu balsam, atlas cedar",https://www.fragrantica.com/perfume/yves-saint-laurent/opium-pour-homme-562.html,0.3333,0.3333,0.3333,0.0,0.0,men,"black currant, star anise","pepper, galanga","bourbon vanilla, tolu balsam, atlas cedar",0.22,0.78,yves saint laurent|opium pour homme|men,"black currant, star anise pepper, galanga bourbon vanilla, tolu balsam, atlas cedar","opium-pour-homme yves-saint-laurent black currant, star anise, pepper, galanga, bourbon vanilla, tolu balsam, atlas cedar black currant, star anise pepper, galanga bourbon vanilla, tolu balsam, atlas cedar"
opium-eau-de-parfum-2009,yves-saint-laurent,"amber, balsamic","mandarin orange, bergamot, lily-of-the-valley, myrhh, jasmine, opoponax, amber, patchouli, vanille",https://www.fragrantica.com/perfume/yves-saint-laurent/opium-eau-de-parfum-2009-7399.html,0.1429,0.2857,0.2857,0.2857,0.0,women,"mandarin orange, bergamot, lily-of-the-valley","myrhh, jasmine","opoponax, amber, patchouli, vanille",1.0,0.0,yves saint laurent|opium eau de parfum 2009|women,"mandarin orange, bergamot, lily-of-the-valley myrhh, jasmine opoponax, amber, patchouli, vanille","opium-eau-de-parfum-2009 yves-saint-laurent mandarin orange, bergamot, lily-of-the-valley, myrhh, jasmine, opoponax, amber, patchouli, vanille mandarin orange, bergamot, lily-of-the-valley myrhh, jasmine opoponax, amber, patchouli, vanille"
